LAMMPS data file via write_data, version 3 Mar 2020, timestep = 200000

4000 atoms
1 atom types

0.0000000000000000e+00 1.6797288504298468e+01 xlo xhi
0.0000000000000000e+00 1.6797288504298468e+01 ylo yhi
0.0000000000000000e+00 1.6797288504298468e+01 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 1

Atoms # full

3676 0 1 0.0000000000000000e+00 6.6242050311644796e-01 1.0879112380151703e+00 1.2935378191996566e-01 1 1 1
3224 0 1 0.0000000000000000e+00 8.9605145677398446e-01 5.9644940108504385e-01 9.7601721048211265e-01 1 0 1
3672 0 1 0.0000000000000000e+00 1.6084610514933000e+00 4.4298390154602291e-01 1.3139167754754116e-01 1 1 1
3751 0 1 0.0000000000000000e+00 2.0746369542100846e+00 6.8157936402445678e+00 3.9199680685223554e-01 1 0 1
964 0 1 0.0000000000000000e+00 3.0617552523585210e+00 1.6568240111657278e+00 1.2911689156144186e+00 0 1 0
3610 0 1 0.0000000000000000e+00 3.5702110847036819e+00 1.0748043145054611e+00 4.5165067551156457e-01 1 1 0
1026 0 1 0.0000000000000000e+00 2.6096140140704596e+00 1.4979645072915502e+00 3.0550084621031542e-01 0 0 1
82 0 1 0.0000000000000000e+00 1.6481028732841998e+00 2.9299946190590216e+00 2.7076528883016877e+00 0 0 0
1491 0 1 0.0000000000000000e+00 2.8857591520440322e+00 5.5537128861576912e-01 1.0262972846926952e+00 0 0 0
2142 0 1 0.0000000000000000e+00 5.1531504046955625e+00 4.8504452535664395e+00 8.3175931657326463e-01 1 0 0
2816 0 1 0.0000000000000000e+00 3.0540987795251726e+00 8.3901842576331749e+00 5.3293072644010953e-02 1 0 0
3525 0 1 0.0000000000000000e+00 3.0388829369926258e+00 4.9343257865754486e+00 3.3286595216638748e+00 1 0 0
2729 0 1 0.0000000000000000e+00 3.9168896062282266e-01 2.7319740096737521e+00 1.1587833527506284e+00 1 0 1
1727 0 1 0.0000000000000000e+00 4.3607781923421021e+00 1.4829489345440754e+00 1.0865183285580187e+00 1 0 0
3464 0 1 0.0000000000000000e+00 4.3639636186821527e+00 4.7694839685370249e-01 7.3574290115707019e-01 1 0 -1
627 0 1 0.0000000000000000e+00 5.0073858312973654e+00 4.9165420161923429e-01 3.0027986829147162e+00 0 1 0
1078 0 1 0.0000000000000000e+00 2.8343913125557552e-01 2.1786353261206211e+00 2.8909049312057444e-01 0 0 0
914 0 1 0.0000000000000000e+00 1.1951268122867593e+00 3.0179913419943833e+00 4.1722986588876959e-01 0 0 0
1603 0 1 0.0000000000000000e+00 8.9029160931121809e-01 1.8049825203995580e+00 1.2508905382045850e+00 0 0 0
2696 0 1 0.0000000000000000e+00 5.5324185552270064e+00 5.6508023274957226e+00 3.0297456498485760e+00 0 0 0
